NIT,RAZÓN_SOCIAL,SUPERVISOR,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES,GANANCIA_PÉRDIDA,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
899999068,ECOPETROL S.A,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,144.82,33.41,216.85,125.81,91.03
900112515,REFINERIA DE CARTAGENA S.A.S,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,27.86,2.19,42.84,16.48,26.36
830095213,ORGANIZACIÓN TERPEL S.A.,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,23.6,0.33,7.48,4.47,3.01
860069804,CARBONES DEL CERREJON LIMITED,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,16.39,6.05,10.45,9.0,1.45
800021308,DRUMMOND LTD,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,15.27,2.16,14.27,6.34,7.93
890900608,ALMACENES EXITO S A,SUPERFINANCIERA,ANTIOQUIA,ENVIGADO-ANTIOQUIA,COMERCIO,15.13,0.1,14.85,7.62,7.23
890904996,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,SUPERFINANCIERA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,15.07,3.04,59.47,30.24,29.23
900156264,NUEVA EPS S.A.,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,14.78,0.01,5.91,5.43,0.49
800153993,COMUNICACIÓN CELULAR S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,14.63,1.79,23.43,14.67,8.76
900276962,D1 SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,13.96,0.29,4.9,4.75,0.15
890100577,AVIANCA,SUPERTRANSPORTE,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,SERVICIOS,11.44,-0.8,17.89,19.33,-1.45
890900943,COLOMBIANA DE COMERCIO SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,11.14,0.34,6.14,3.96,2.18
860063875,EMGESA S.A. E.S.P.,SUPERSERVICIOS,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,10.87,2.86,27.06,11.89,15.17
900818921,KOPPS COMMERCIAL SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,9.66,0.88,5.05,3.98,1.07
800088702,EPS SURA,SUPERSALUD,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,9.3,-0.14,2.1,1.87,0.24
800251440,E.P.S. SANITAS S.A.,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,8.72,-0.3,2.47,2.39,0.08
900480569,JERONIMO MARTINS COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,8.62,-0.23,5.2,5.1,0.1
900531210,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,8.53,4.58,19.56,2.35,17.21
830122566,COLOMBIA TELECOMUNICACIONES S.A. E.S.P. - TELEFONICA,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,7.86,-0.07,14.83,10.07,4.75
890107487,SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,COMERCIO,7.78,0.14,5.3,3.28,2.02
860002554,PRIMAX COLOMBIA S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,7.76,0.05,1.74,1.27,0.47
830078038,CERREJON ZONA NORTE S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,7.2,2.84,7.95,3.36,4.59
860005224,BAVARIA & CIA S.C.A,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,6.96,1.72,10.68,7.53,3.15
900585067,C.I. TRAFIGURA PETROLEUM COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,6.57,-0.03,0.94,0.91,0.03
800130907,SALUD TOTAL S.A. EPS,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,6.21,0.17,3.22,2.81,0.41
800242106,SODIMAC COLOMBIA SA,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,5.99,0.31,3.79,2.34,1.45
800251163,OLEODUCTO CENTRAL S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,5.52,2.84,8.71,3.83,4.88
900268747,PAREX RESOURCES (COLOMBIA) AG SUCURSAL,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,5.5,2.49,11.62,5.53,6.09
830126302,"FRONTERA ENERGY COLOMBIA CORP., SUCURSAL COLOMBIA",SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,5.15,1.62,8.7,2.07,6.63
800249860,CELSIA COLOMBIA S.A. E.S.P. ANTES EMPRESA DE ENERGIA DEL PACIFICO S.A. E.S.P.- EPSA,SUPERFINANCIERA,VALLE,YUMBO-VALLE,SERVICIOS,4.92,0.47,11.11,6.63,4.48
811000740,ISAGEN S.A. E.S.P.,SUPERFINANCIERA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,4.82,1.23,23.81,18.24,5.56
900331322,VERANO ENERGY (SWITZERLAND) AG SUCURSAL,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,4.72,0.78,12.25,9.46,2.79
900155107,CENCOSUD COLOMBIA SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,4.64,-0.01,5.81,1.82,3.98
860005223,CHEVRON PETROLEUM COMPANY,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,4.47,-0.06,1.45,1.37,0.08
860066942,COMPENSAR,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,4.42,-0.13,1.91,1.41,0.5
830028931,SAMSUNG ELECTRONICS COLOMBIA S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,4.34,0.03,1.87,1.62,0.25
900604350,SAVIA SALUD EPS,SUPERSALUD,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,2.51,-0.15,0.22,0.79,-0.57
800149695,DROGUERIAS Y FARMACIAS CRUZ VERDE SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,4.28,0.03,2.86,2.42,0.44
900493698,GEOPARK COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,4.14,1.21,4.6,2.53,2.07
900226715,COOSALUD,SUPERSALUD,BOLIVAR,CARTAGENA-BOLIVAR,SERVICIOS,4.08,0.12,1.12,0.79,0.33
890903858,INDUSTRIA NACIONAL DE GASEOSAS S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,4.05,0.04,2.34,1.48,0.86
830003564,FAMISANAR LTDA. CAFAM - COLSUBSIDIO E.P.S.,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,3.97,-0.7,0.95,2.04,-1.09
860069378,CERRO MATOSO S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,3.9,1.29,3.47,1.55,1.92
860025792,RENAULT SOCIEDAD DE FABRICACION DE AUTOMOTORES S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ENVIGADO-ANTIOQUIA,MANUFACTURA,3.73,0.19,1.04,0.65,0.39
800059470,ESENTTIA S.A.,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,3.7,0.25,3.67,0.63,3.04
899999082,GRUPO ENERGÍA DE BOGOTÁ S.A. E.S.P.,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,3.59,2.85,31.51,11.01,20.5
900780510,AUTOMOTORES TOYOTA COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,3.58,0.15,0.67,0.48,0.19
860002304,GENERAL MOTORS COLMOTORES S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,3.57,0.07,2.13,1.4,0.73
890901271,CONTEGRAL S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ENVIGADO-ANTIOQUIA,MANUFACTURA,3.52,0.11,1.3,0.78,0.52
816001182,AUDIFARMA SA,SUPERSOCIEDADES,RISARALDA,PEREIRA-RISARALDA,COMERCIO,3.5,0.05,2.4,2.2,0.2
860026895,ITALCOL SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,3.44,0.06,1.02,0.65,0.37
800007813,VANTI S.A. E.S.P.,SUPERSERVICIOS,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,3.37,0.27,1.82,1.23,0.59
806008394,MUTUAL SER,SUPERSALUD,BOLIVAR,CARTAGENA-BOLIVAR,SERVICIOS,3.37,0.0,0.66,0.45,0.21
860016610,INTERCONEXIÓN ELÉCTRICA S.A. E.S.P. - ISA,SUPERFINANCIERA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,3.32,2.19,25.49,7.04,18.45
860072134,HOCOL S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,3.25,0.53,4.87,2.06,2.81
901421912,JGDB HOLDING SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,3.09,2.28,10.8,5.61,5.19
830136799,BIOMAX BIOCOMBUSTIBLES S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,3.09,0.08,1.47,1.0,0.47
860041312,C.I. PRODECO S.A.,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,MINERO,2.82,0.98,2.37,0.57,1.79
890300466,TECNOQUIMICAS S.A.,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,2.82,0.4,3.6,1.08,2.52
890304130,ALIMENTOS CARNICOS S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,2.78,0.16,3.04,1.65,1.39
900646156,TRAFIGURA MARKETING COLOMBIA SAS E.S.P,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,2.77,-0.04,1.0,1.07,-0.07
811009788,DISTRACOM S.A,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,2.77,0.1,1.48,0.55,0.93
900092385,UNE EPM TELECOMUNICACIONES S.A.,SUPERFINANCIERA,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,2.76,-0.47,5.3,4.74,0.56
860006333,YARA COLOMBIA S.A.,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,2.75,0.38,1.69,0.64,1.05
860007277,MEXICHEM RESINAS COLOMBIA S.A.S.,SUPERSOCIEDADES,BOLIVAR,CARTAGENA-BOLIVAR,MANUFACTURA,2.73,0.2,1.19,0.25,0.94
890900291,SOLLA S.A.,SUPERSOCIEDADES,ANTIOQUIA,ITAGUI-ANTIOQUIA,MANUFACTURA,2.67,0.09,1.08,0.68,0.4
860004828,ALIMENTOS FINCA S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,ENVIGADO-ANTIOQUIA,MANUFACTURA,2.64,0.06,1.19,0.76,0.43
900323853,TELEPERFORMANCE COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,2.63,0.28,1.42,0.55,0.87
830114921,COLOMBIA MOVIL S A E S P,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,2.62,-0.25,4.41,4.39,0.01
890903939,POSTOBON S.A.,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,2.6,0.01,3.43,1.97,1.46
860078828,COLSANITAS,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,2.55,0.13,2.06,1.07,0.99
860001697,GASEOSAS LUX SAS,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,2.55,0.09,2.07,1.11,0.96
890912462,TAMPA CARGO S.A.S.,SUPERTRANSPORTE,ANTIOQUIA,RIONEGRO-ANTIOQUIA,SERVICIOS,2.55,0.12,2.66,1.57,1.09
901021565,EMSSANAR ESS,SUPERSALUD,NARIÑO,PASTO-NARIÑO,SERVICIOS,2.53,-0.42,0.36,1.82,-1.46
900017447,FALABELLA DE COLOMBIA S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,2.52,0.05,1.45,1.12,0.33
890301884,COLOMBINA S A,SUPERFINANCIERA,VALLE,ZARZAL-VALLE,MANUFACTURA,2.49,0.16,2.26,1.72,0.54
900935126,ASMET SALUD,SUPERSALUD,CAUCA,POPAYAN-CAUCA,SERVICIOS,2.49,-0.03,0.27,1.04,-0.77
890100251,CEMENTOS ARGOS S.A,SUPERFINANCIERA,ATLANTICO,BARRANQUILLA-ATLANTICO,MANUFACTURA,2.48,0.14,17.45,6.15,11.3
890112475,CI ENERGIA SOLAR SAS ESWINDOWS,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,MANUFACTURA,2.47,0.37,1.61,0.85,0.76
860031606,DIANA CORPORACION SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,2.43,0.02,1.33,1.05,0.28
901526800,MARVAL HOLDING S.A.S.,SUPERSOCIEDADES,SANTANDER,BUCARAMANGA-SANTANDER,CONSTRUCCIÓN,2.3,2.31,2.16,0.02,2.14
860053930,"SIERRACOL ENERGY ARAUCA, LLC.",SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,2.28,0.97,1.1,0.85,0.25
901210452,TERPEL EXPORTACIONES C.I. S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,2.27,0.02,0.19,0.16,0.03
800216181,GRUPO AVAL ACCIONES Y VALORES S A,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,2.26,2.54,20.04,3.07,16.96
891304762,ITALCOL DE OCCIDENTE SA,SUPERSOCIEDADES,VALLE,PALMIRA-VALLE,MANUFACTURA,2.25,0.07,0.7,0.37,0.33
800011987,TENARIS TUBOCARIBE LTDA,SUPERSOCIEDADES,BOLIVAR,TURBACO-BOLIVAR,MANUFACTURA,2.21,0.3,2.54,1.23,1.31
860025900,ALPINA PRODUCTOS ALIMENTICIOS S A,SUPERFINANCIERA,CUNDINAMARCA,SOPO-CUNDINAMARCA,MANUFACTURA,2.16,0.1,1.58,1.34,0.24
890201881,AVIDESA MAC POLLO SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,AGROPECUARIO,2.11,0.17,0.91,0.3,0.62
900736182,APPLE COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,2.1,0.0,0.6,0.58,0.02
860002130,NESTLE DE COLOMBIA S.A,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,2.09,0.17,1.29,1.07,0.21
890903532,INDUSTRIA COLOMBIANA DE CAFE S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,2.05,0.01,2.43,1.61,0.81
860004864,"SIERRACOL ENERGY ANDINA, LLC.",SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,2.02,0.4,3.64,1.49,2.14
800141770,C.I. ACEPALMA S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,2.02,0.03,0.41,0.32,0.09
860000996,RACAFE & CIA SCARACAFE & CIA SCA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,2.0,0.02,0.7,0.58,0.11
890300546,COLGATE PALMOLIVE COMPAÑIA,SUPERSOCIEDADES,VALLE,CALI-VALLE,MANUFACTURA,1.99,0.07,1.0,0.75,0.25
890105526,PROMIGAS S.A. E.S.P.,SUPERFINANCIERA,ATLANTICO,BARRANQUILLA-ATLANTICO,SERVICIOS,1.99,1.12,11.19,5.49,5.7
900319753,PRICESMART COLOMBIA S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.99,0.0,1.1,0.62,0.48
800197463,POLLOS EL BUCANERO S.A.,SUPERSOCIEDADES,VALLE,CALI-VALLE,MANUFACTURA,1.96,-0.19,1.74,1.2,0.53
890920304,PEPSICO ALIMENTOS COLOMBIA LTDA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.95,0.06,0.62,0.38,0.24
900110594,OLAM AGRO COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.94,0.01,0.42,0.35,0.07
860002518,UNILEVER ANDINA COLOMBIA LTDA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.93,0.08,1.42,0.84,0.57
900777972,C.I. TRAFIGURA COAL COLOMBIA S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.92,0.0,0.32,0.32,-0.0
890900161,PRODUCTOS FAMILIA SA,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,1.91,0.32,3.07,0.6,2.47
900291798,CI ADM COLOMBIA LTDA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.91,0.01,0.41,0.34,0.07
900166687,CONTINENTAL GOLD LIMITED SUCURSAL COLOMBIA,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MINERO,1.88,0.13,5.54,3.33,2.21
900196778,ONGC VIDESH LIMITED SUCURSAL COLOMBIANA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,1.88,0.49,1.8,1.85,-0.04
860513970,COMERCIALIZADORA INTERNACIONAL MILPA SOCIEDAD ANONIMA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.85,0.32,1.39,0.6,0.79
890904224,C.I. UNIÓN DE BANANERO DE URABÁ S.A. - UNIBVA,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,1.85,-0.05,1.18,0.6,0.58
891100445,ORF S.A,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.84,0.1,1.51,0.81,0.7
900298372,CAPITAL SALUD EPSS S.A.S,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,1.84,0.0,0.42,0.39,0.03
900099234,SUCDEN COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.79,0.0,0.25,0.24,0.01
800039996,KUEHNE+ NAGEL S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,1.79,0.04,0.38,0.28,0.1
860516431,"GRAN TIERRA ENERGY COLOMBIA, LLC SUCURSAL",SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MINERO,1.78,0.45,3.17,1.22,1.95
830019189,AIRES LATAM AIRLINES COLOMBIA,SUPERTRANSPORTE,BOGOTA D.C.,BOGOTÁ-BOGOTA D.C.,SERVICIOS,1.78,-0.42,0.94,1.44,-0.49
800149384,CLINICA COLSANITAS S A,SUPERSALUD,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,1.77,0.07,1.29,0.73,0.56
890932389,TERNIUM COLOMBIA S. A. S.,SUPERSOCIEDADES,ANTIOQUIA,ITAGUI-ANTIOQUIA,COMERCIO,1.73,0.04,1.31,0.53,0.77
891903333,CARCAFE LTDA.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.71,0.01,0.49,0.41,0.08
900313349,FAST COLOMBIA,SUPERTRANSPORTE,ANTIOQUIA,RIONEGRO-ANTIOQUIA,SERVICIOS,1.71,-0.36,3.38,4.24,-0.86
900943243,SURAMERICA COMERCIAL SAS,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,1.7,0.03,1.29,0.72,0.58
900059238,MAKRO SUPERMAYORISTA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.7,-0.01,1.35,0.72,0.63
890300406,CARTON COLOMBIA S.A.,SUPERSOCIEDADES,VALLE,YUMBO-VALLE,MANUFACTURA,1.7,0.17,3.37,1.49,1.88
800035776,NEXSYS DE COLOMBIA SAS,SUPERSOCIEDADES,CUNDINAMARCA,COTA -CUNDINAMARCA,COMERCIO,1.7,0.0,1.08,0.91,0.17
900824185,HP COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.69,-0.09,1.02,0.99,0.03
900306309,ARIS MINING SEGOVIA,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MINERO,1.69,0.45,1.4,0.35,1.05
860525148,FIDUPREVISORA FONDO DE PRESTACIONES SOCIALES DEL MAGISTERIO,SUPERSALUD,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,1.68,0.16,9.66,7.64,2.02
890301886,FABRICA NACIONAL DE AUTOPARTES FANALCA S.A,SUPERSOCIEDADES,VALLE,YUMBO-VALLE,MANUFACTURA,1.64,0.19,1.56,0.88,0.69
860029995,ACERIAS PAZ DE RIO S A,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.64,0.04,2.02,0.96,1.06
891300382,HARINERA DEL VALLE S.A.,SUPERSOCIEDADES,VALLE,PALMIRA-VALLE,MANUFACTURA,1.64,0.05,1.84,0.75,1.09
900491889,MASSER S.A.S,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,COMERCIO,1.62,0.0,0.06,0.05,0.01
830010738,C.I. SUNSHINE BOUQUET S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,AGROPECUARIO,1.61,0.02,1.58,1.15,0.43
900703240,MAZDA DE COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.61,0.05,0.48,0.24,0.24
800149149,ALIMENTOS BALANCEADOS TEQUENDAMA S.A. ALBATEQ S.A.,SUPERSOCIEDADES,CUNDINAMARCA,FUNZA -CUNDINAMARCA,MANUFACTURA,1.6,0.01,0.38,0.28,0.1
830140321,HUAWEI TECHNOLOGIES COLOMBIA S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.59,0.04,1.37,1.31,0.06
860002536,COMPAÑÍA COLOMBIANA DE CERAMICA S.AAN,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.58,0.02,1.51,0.93,0.58
900466209,PORSCHE COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.57,0.07,0.77,0.62,0.14
900087414,RIOPAILA CASTILLA S.A.,SUPERFINANCIERA,VALLE,CALI-VALLE,MANUFACTURA,1.57,0.09,1.37,0.84,0.54
800186960,ALTIPAL S.A.S.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.55,0.03,0.5,0.42,0.08
811036030,COMPAÑIA NACIONAL DE CHOCOLATES S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,MANUFACTURA,1.55,0.14,2.6,1.16,1.44
900327290,DERCO COLOMBIA SAS,SUPERSOCIEDADES,CUNDINAMARCA,CHIA-CUNDINAMARCA,COMERCIO,1.55,0.04,0.75,0.57,0.18
860000006,TEAM FOODS COLOMBIA SA,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.53,0.06,1.18,0.84,0.34
860001942,BAYERS.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,1.53,0.08,1.11,0.85,0.26
800167643,GASES DE OCCIDENTE S.A. E.S.P.,SUPERFINANCIERA,VALLE,CALI-VALLE,SERVICIOS,1.52,0.13,1.47,1.04,0.44
830006051,DIAGEO COLOMBIA S.A.,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.52,0.09,0.81,0.71,0.11
901012419,SUCAFINA COLOMBIA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,1.52,0.04,0.46,0.45,0.0
899999115,EMPRESA DE TELECOMUNICACIONES DE BOGOTÁ S.A. E.S.P.,SUPERFINANCIERA,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,1.52,0.05,4.22,2.01,2.2
800018359,BEL STAR S.A.,SUPERSOCIEDADES,CUNDINAMARCA,TOCANCIPA -CUNDINAMARCA,MANUFACTURA,1.52,0.03,1.08,0.65,0.43
800229035,TECNOGLASS S.A.S.,SUPERSOCIEDADES,ATLANTICO,BARRANQUILLA-ATLANTICO,MANUFACTURA,1.51,0.18,1.19,0.85,0.34
