NIT,RAZÓN_SOCIAL,SUPERVISOR,DEPARTAMENTO_DOMICILIO,CIUDAD_DOMICILIO,MACROSECTOR,INGRESOS_OPERACIONALES,GANANCIA_PÉRDIDA,TOTAL_ACTIVOS,TOTAL_PASIVOS,TOTAL_PATRIMONIO
900144924,CIRUDERMA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.0,0.0,0.0
800212777,TESERACT SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,0.0,0.02,0.0,0.01
901347798,COLEGIOS COLOMBIANOS SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,-0.01,0.09,0.03,0.06
900029464,SUPER A LTDA,SUPERSOCIEDADES,VALLE,CALI-VALLE,COMERCIO,0.02,0.0,0.01,0.0,0.01
860516281,DIRIMPEX SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.01,0.0
900708406,GRUPO EMPRESARIAL REPUESTOS GOP SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,COMERCIO,0.02,0.0,0.01,0.01,0.0
830145637,FAYCO S.A.S,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,0.0,0.01,0.01,0.0
900223683,CONSTRUCTORA TOTEM LTDA,SUPERSOCIEDADES,CUNDINAMARCA,COTA -CUNDINAMARCA,CONSTRUCCIÓN,0.02,0.0,0.02,0.02,0.0
860048112,CONSTRUCCIONES ARRECIFE SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,CONSTRUCCIÓN,0.02,0.0,0.05,0.02,0.03
900269636,SURTIALIADOS S.A.S.,SUPERSOCIEDADES,CALDAS,VILLAMARIA-CALDAS,COMERCIO,0.02,0.0,0.0,0.0,0.0
860073093,IMMACOLATA SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,SERVICIOS,0.02,-0.01,0.35,0.12,0.23
860026892,SERVICIOS INDUSTRIALES TECNICOS SAS SERVINTEC SAS,SUPERSOCIEDADES,BOGOTA D.C.,BOGOTA D.C.-BOGOTA D.C.,MANUFACTURA,0.02,0.0,0.01,0.0,0.01
800185976,LADRILLERA ARCILLAS SAS,SUPERSOCIEDADES,VALLE,CARTAGO-VALLE,MANUFACTURA,0.02,0.0,0.02,0.01,0.01
900474342,SPORT FITNESS SHOP SAS,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,COMERCIO,0.02,0.0,0.01,0.01,0.01
800250001,SERVIFORESTAL SA,SUPERSOCIEDADES,VALLE,BUGA-VALLE,AGROPECUARIO,0.02,-0.01,0.0,0.01,-0.0
900861361,SURA INVESTMENT MANAGEMENT COLOMBIA S.A.S.,SUPERSOCIEDADES,ANTIOQUIA,MEDELLIN-ANTIOQUIA,SERVICIOS,0.02,0.01,0.06,0.01,0.05
890905253,AUTOMOTORES CALI S.A.S,SUPERSOCIEDADES,ANTIOQUIA,ITAGUI-ANTIOQUIA,SERVICIOS,0.02,0.01,0.06,0.02,0.03
